verbe,préposition
décider,de
réussir,à
hésiter,à
choisir,de
parler,à
écrire,à
répondre,à
envoyer,à
donner,à
offrir,à
téléphoner,à
s'intéresser,à
participer,à
penser,à
s'attendre,à
s'adapter,à
emprunter,à
prêter,à
sourire,à
rendre,à
souhaiter,à
ressembler,à
plaire,à
faire confiance,à
signaler,à
indiquer,à
obliger,à
commencer,à
se mettre,à
continuer,à
apprendre,à
forcer,à
n'arriver pas,à
aider,à
chercher,à
inviter,à
s'occuper,de
se souvenir,de
se moquer,de
essayer,de
faire grand / très plaisir,de
choisir,de
finir,de
(s')arrêter,de
menacer,de
profiter,de
munir,de
discuter,de
s'ennuyer,de
interdire,de
accepter,de
oublier,de
refuser,de
regretter,de
se dépécher,de
être content,de
être pressé,de
être prêt,à
être habituer,à
avoir du mal,à
avoir tendence,à
avoir besoin,de
avoir envie,de
avoir peur,de
avoir l'habitude,de
demander ... qqn. ... faire qqch.,à ... de
dire ... qqn. ... faire qqch.,à ... de
permettre ... qqn. ... faire qqch.,à ... de
proposer ... qqn. ... faire qqch.,à ... de
reprocher ... qqn. ... faire qqch.,à ... de
s'adresser,On s'adresse à lui
aller,On va à lui
avoir affaire,On a affaire à lui
se fier,On se fie à lui
prendre garde,On prende garde à lui
penser,On pense à lui
songer,On songe à lui
rêver,On rêve à lui
tenir,On tient à lui
renonce,On renonce à lui
recourir,On recourt à lui
présenter,On présente qqch. à lui
être accompagné ... qqn. / qqch.,de
être contraint ... faire qqch., de
se servir,de
